column_1,column_2,column_3,column_4,column_5
1,Number of signatories:,495,,
2,Name,Title,Dept.,Campus
3,Gabriel Rossman,Professor,Sociology,UC Los Angeles
4,Marc Muendler,Chair,Economics,UC San Diego
5,Samuel Rickless,Chair,Philosophy,UC San Diego
6,Edward Walker,Chair,Sociology,UC Los Angeles
7,Giovanni Rossi,Vice-chair for undergraduate studies,Sociology,UC Los Angeles
8,David Biggs,Chair,History,UC Riverside
9,Stefano DellaVigna,Chair,Economics,UC Berkeley
10,Eric Bakovic,Chair,Linguistics,UC San Diego
11,John Serences,Professor,Psychology,UC San Diego
12,Cai Li,Professor,"National Center for Research on Evaluation, Standards, and Student Testing",UC Los Angeles
13,Déborah Blocker,Professor,French,UC Berkeley
14,Kristoffer Neville,Professor,Art History,UC Riverside
15,Brad LeVeck,Associate Professor,Political Science,UC Merced
16,Carol Bakhos,Professor,Near Eastern Languages and Cultures,UC Los Angeles
17,Matthew Mahutga,Professor,Sociology,UC Riverside
18,Nathan Sayre,Professor,Geography,UC Berkeley
19,John Ahlquist,Professor,"Political Science, School of Global Policy & Strategy",UC San Diego
20,Smriti Mehta,Postdoctoral Scholar,Berkeley Evaluation & Assessment Research Center,UC Berkeley
21,Chris Hoofnagle,Teaching Professor,Law,UC Berkeley
22,Heather Haveman,Professor,Sociology and Haas School of Business,UC Berkeley
23,Richard H. Sander,Professor,Law,UC Los Angeles
24,Darya Kavitskaya,Professor and Incoming Chair (Slavic Languages),Slavic Languages and Linguistics,UC Berkeley
25,Karen Nakamura,Robert and Colleen Haas Distinguished Chair of Disability Studies and Professor of,Disability Studies and Anthropology,UC Berkeley
26,Juan Pablo Pardo Guerra,Professor,Sociology,UC San Diego
27,Wei-hsin Yu,Professor,Sociology,UCLA
28,Demian Pouzo,Professor,Economics,UC Berkeley
29,Stefan Timmermans,Professor,Sociology,UCLA
30,Edward Miguel,Professor,Economics,UC Berkeley
31,Matilde Bombardini,Professor,Haas School of Business,UC Berkeley
32,Yuriy Gorodnichenko,Professor,Economics,UC Berkeley
33,Michael Jansson,Professor,Economics,UC Berkeley
34,Alison Gopnik,Professor,Psychology,UC Berkeley
35,Daniel Boyarin,Professor Emeritus,MELC and Rhetoric,UC Berkeley
36,David Sraer,Professor,Economics / Haas School of Business,UC Berkeley
37,Ryan Oprea,Professor,Haas School of Business,UC Berkeley
38,Mark Warschauer,Distinguished Professor,Education,UC Irvine
39,Leslie Kurke,Professor,"Ancient Greek & Roman Studies, Comparative Literature",UC Berkeley
40,Dylan Sailor,Professor,Ancient Greek and Roman Studies,UC Berkeley
41,Andres Villarreal,Professor,Department of Sociology,UCLA
42,Fred Oswald,Professor,School of Education,UC Irvine
43,Christina Gremel,Professor,Psychology,UC San Diego
44,Juan Herreño,Assistant Professor,Economics,UC San Diego
45,Elizabeth Loftus,Distinguished Professor,Psychology,UC Irvine
46,Omar Lizardo,Professor,Sociology,UCLA
47,Karthik Muralidharan,Professor,Economics,UC San Diego
48,Rogers Brubaker,Professor,Sociology,UCLA
49,Valerie Soon,Assistant Professor,Political Science,UC San Diego
50,Tom Vogl,Associate Professor,Economics,UC San Diego
51,Donald Saari,Distinguished Research Professor,"Economics, Mathematics",UC Irvine
52,David Wiens,Professor,Political Science,UC San Diego
53,Allan Timmermann,Professor,Rady School of Management,UC San Diego
54,Caren Walker,Associate Professor,Psychology,UC San Diego
55,Alexandre Mas,Professor,Haas School of Business,UC Berkeley
56,Melissa Famulari,Teaching Professor,Economics,UC San Diego
57,Jeanette Kohl,Professor,History of Art,UC Riverside
58,Gordon Dahl,Professor,Economics,UC San Diego
59,Yixiao Sun,Professor,Economics,UC San Diego
60,J. Lawrence Broz,Professor,Political Science,UC San Diego
61,Jessica L. Collett,Professor,Sociology,UCLA
62,Maysa Nichter,Assistant Teaching Professor,Political Science,UC San Diego
63,Michael Todd,Distinguished Professor,Structural Engineering,UC San Diego
64,Valerie Ramey,Professor Emerita,Economics,UC San Diego
65,Linda J. Levine,Professor Emerita,Department of Psychology,UC Irvine
66,Philip G. Roeder,Professor,Political Science,UC San Diego
67,Victor Agadjanian,Professor,Sociology and the International Institute,UCLA
68,Trond Petersen,Professor,Sociology,UC Berkeley
69,Tim Gentner,Professor,Psychology and Neurobiology,UC San Diego
70,Frank DeRose,Former Lecturer and Director of the Greek Workshop,Classics,UC Berkeley
71,Richard Carson,Professor,Economics,UC San Diego
72,Martín Sánchez-Jankowski,Distinguished Professor,Sociology,UC Berkeley
73,Gail Kligman,Distinguished Professor of Sociology,Sociology,UCLA
74,Isabel Trevino,Associate Professor,Economics,UC San Diego
75,Giacomo Rondina,Associate Professor of Teaching,Economics,UC San Diego
76,Neil D Fligstein,Professor,Sociology,UC Berkeley
77,Tim Hunter,Professor,Linguistics,UCLA
78,William Schniedewind,Professor,Near Eastern Languages & Cultures,UCLA
79,Kevan Harris,Associate Professor,Sociology,UCLA
