column_1,column_2,column_3,column_4,column_5
1,Number of signatories,1570,,
2,Name,Title,Dept.,Campus
3,Mina Aganagic,Professor,Mathematics and Physics,UC Berkeley
4,Svetlana Jitomirskaya,Professor,Mathematics,UC Berkeley
5,John Lott,Professor,Mathematics,UC Berkeley
6,Zvezdelina Stankova,Teaching Professor,Mathematics,UC Berkeley
7,Chris Hoofnagle,Teaching Professor,School of Law,UC Berkeley
8,Michael Holst,Chair,Mathematics,UC San Diego
9,James P. Kelliher,Chair,Mathematics,UC Riverside
10,Zhiqin Lu,Chair,Mathematics,UC Irvine
11,Bruno Nachtergaele,Chair,Mathematics,UC Davis
12,Martin Olsson,Chair,Mathematics,UC Berkeley
13,Jie Qing,Chair,Mathematics,UC Santa Cruz
14,Mario Bonk,Interim Chair,Mathematics,UCLA
15,Alexander Soshnikov,Professor,Mathematics,UC Davis
16,Joseph Biello,Professor,Mathematics,UC Davis
17,Thomas Strohmer,Professor,Mathematics,UC Davis
18,Sug Woo Shin,Professor,Mathematics,UC Berkeley
19,Michael Hutchings,Professor,Mathematics,UC Berkeley
20,Suncica Canic,Professor,Mathematics,UC Berkeley
21,Maciej Zworski,Professor,Mathematics,UC Berkeley
22,Constantin Teleman,Professor,Mathematics,UC Berkeley
23,Albert Fannjiang,Professor,Mathematics,UC Davis
24,Vladimir Mandelshtam,Professor,Chemistry,UC Irvine
25,Richard E Borcherds,Professor,Math,UC Berkeley
26,Arthur Ogus,Distinguished Professor Emeritus,Mathematics,UC Berkeley
27,Ray Luo,Professor,Molecular Biology and Biochemistry,UC Irvine
28,Fraydoun Rezakhanlou,Professor,Math,UC Berkeley
29,Abigail Thompson,Distinguished Professor Emerita,Mathematics,UC Davis
30,Craig Martens,Professor,Chemistry,UC Irvine
31,David Nadler,Professor,Mathematics,UC Berkeley
32,Albert Schwarz,Professor,Department of Mathematics,UC Davis
33,Andrew Waldron,Professor,Mathematics,UC Davis
34,Michael Kapovich,Distinguished Professor,Mathematics,UC Davis
35,Rui Wang,Continuing lecturer,Mathematics,UC Berkeley
36,Roland W. Freund,Professor Emeritus,Department of Mathematics,UC Davis
37,Marc A. Rieffel,Professor,Mathematics,UC Berkeley
38,Longzhi Lin,Professor,Mathematics,UC Santa Cruz
39,Adam Jacob,Professor,Mathematics,UC Davis
40,Vadim Gorin,Professor,Departments of Statistics and Mathematics,UC Berkeley
41,Ian Agol,Professor,Mathematics,UC Berkeley
42,Amir Mohammadi,Professor,Mathematics,UC Berkeley
43,Niels Grønbech-Jensen,Distinguished Professor,"Mathematics, Mechanical & Aerosp Eng",UC Davis
